symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type
XAUUSD,2026-01-29 20:19:00+08:00,2026-01-29 20:23:00+08:00,bear,1156.0,5,5,3,Double
XAUUSD,2026-01-29 20:24:00+08:00,2026-01-29 20:29:00+08:00,bull,498.0,6,6,3,Double
XAUUSD,2026-01-29 20:30:00+08:00,2026-01-29 20:35:00+08:00,bear,1312.0,6,6,3,Double
XAUUSD,2026-01-29 20:36:00+08:00,2026-01-29 20:39:00+08:00,bear,1078.0,4,4,3,Double
XAUUSD,2026-01-29 20:40:00+08:00,2026-01-29 20:45:00+08:00,bear,570.0,6,6,2,Double
XAUUSD,2026-01-29 20:46:00+08:00,2026-01-29 20:50:00+08:00,bear,674.0,5,5,3,Double
XAUUSD,2026-01-29 20:51:00+08:00,2026-01-29 21:00:00+08:00,bear,2453.0,10,10,3,Double
XAUUSD,2026-01-29 21:01:00+08:00,2026-01-29 21:13:00+08:00,bull,3450.0,13,13,3,Double
XAUUSD,2026-01-29 21:14:00+08:00,2026-01-29 21:23:00+08:00,bull,1236.0,10,10,1,Single
XAUUSD,2026-01-29 21:24:00+08:00,2026-01-29 21:28:00+08:00,bear,340.0,5,5,1,Single
XAUUSD,2026-01-29 21:29:00+08:00,2026-01-29 21:34:00+08:00,bull,829.0,6,6,2,Double
XAUUSD,2026-01-29 21:35:00+08:00,2026-01-29 21:38:00+08:00,bull,913.0,4,4,3,Double
XAUUSD,2026-01-29 21:39:00+08:00,2026-01-29 21:43:00+08:00,bear,750.0,5,5,3,Double
XAUUSD,2026-01-29 21:45:00+08:00,2026-01-29 21:53:00+08:00,bull,1443.0,9,9,3,Double
XAUUSD,2026-01-29 21:54:00+08:00,2026-01-29 21:59:00+08:00,bull,681.0,6,6,3,Double
XAUUSD,2026-01-29 22:00:00+08:00,2026-01-29 22:03:00+08:00,bear,402.0,4,4,0,None
XAUUSD,2026-01-29 22:04:00+08:00,2026-01-29 22:09:00+08:00,bull,779.0,6,6,3,Double
XAUUSD,2026-01-29 22:10:00+08:00,2026-01-29 22:13:00+08:00,bear,1770.0,4,4,3,Double
XAUUSD,2026-01-29 22:14:00+08:00,2026-01-29 22:18:00+08:00,bear,532.0,5,5,3,Double
XAUUSD,2026-01-29 22:19:00+08:00,2026-01-29 22:23:00+08:00,bear,914.0,5,5,3,Double
XAUUSD,2026-01-29 22:24:00+08:00,2026-01-29 22:30:00+08:00,bull,606.0,7,7,3,Double
XAUUSD,2026-01-29 22:31:00+08:00,2026-01-29 22:37:00+08:00,bull,1183.0,7,7,3,Double
XAUUSD,2026-01-29 22:38:00+08:00,2026-01-29 22:45:00+08:00,bull,879.0,8,8,3,Double
XAUUSD,2026-01-29 22:46:00+08:00,2026-01-29 22:54:00+08:00,bull,1392.0,9,9,2,Double
XAUUSD,2026-01-29 22:55:00+08:00,2026-01-29 23:01:00+08:00,bear,1105.0,7,7,3,Double
XAUUSD,2026-01-29 23:02:00+08:00,2026-01-29 23:13:00+08:00,bear,2715.0,12,12,2,Double
XAUUSD,2026-01-29 23:14:00+08:00,2026-01-29 23:21:00+08:00,bear,1339.0,8,8,3,Double
XAUUSD,2026-01-29 23:22:00+08:00,2026-01-29 23:30:00+08:00,bull,1562.0,9,9,3,Double
XAUUSD,2026-01-29 23:31:00+08:00,2026-01-29 23:38:00+08:00,bear,1785.0,8,8,3,Double
XAUUSD,2026-01-29 23:39:00+08:00,2026-01-29 23:46:00+08:00,bull,2021.0,8,8,3,Double
XAUUSD,2026-01-29 23:47:00+08:00,2026-01-29 23:54:00+08:00,bear,1290.0,8,8,3,Double
XAUUSD,2026-01-29 23:56:00+08:00,2026-01-30 00:01:00+08:00,bear,1365.0,6,6,3,Double
XAUUSD,2026-01-30 00:02:00+08:00,2026-01-30 00:10:00+08:00,bull,2852.0,9,9,3,Double
XAUUSD,2026-01-30 00:11:00+08:00,2026-01-30 00:14:00+08:00,bull,1162.0,4,4,3,Double
